Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Riverdale,4c04544df423a593ac83d116,Cumin Indian Cuisine,13,5.8,9
Bronx,Woodlawn,4c0448d9310fc9b6bf1dc761,Curry Spot,5,7.9,10
Bronx,Parkchester,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,6.2,2
Bronx,Spuyten Duyvil,4c04544df423a593ac83d116,Cumin Indian Cuisine,13,5.8,9
Bronx,Concourse,551b7f75498e86c00a0ed2e1,Hungry Bird,8,7.2,3
Bronx,Unionport,4c194631838020a13e78e561,Melanies Roti Bar And Grill,3,6.2,2
Brooklyn,Bay Ridge,4b5a4dc8f964a520a2bb28e3,Taj Mahal,37,8.3,26
Brooklyn,Bay Ridge,545835a1498e820edc6f636f,Bombay Grill,14,7.3,4
Brooklyn,Brighton Beach,4af0d31bf964a5207ddf21e3,Pak Nasheman,9,7.4,4
Brooklyn,Flatbush,52213c4211d295d4c57a607c,Ashoka Grill,8,7.3,14
Brooklyn,East Flatbush,512a9ea9e4b004fb8eeb84e5,Silver Krust,13,8.0,3
Brooklyn,Kensington,4db0f4371e729fcc56497f20,Mashallah,20,7.6,7
Brooklyn,Kensington,4b718914f964a520c04b2de3,Madina Restaurant and Sweets,17,6.6,13
Brooklyn,Prospect Heights,592e1dae345cbe0fc77cf6c9,Diwan Grill,19,8.9,8
Brooklyn,Gowanus,52f18573498ec2c34e830ffd,Kanan's Indian Restaurant,24,7.7,8
Brooklyn,Fort Greene,57596dad498e732300496b23,Dosa Royale,78,8.5,24
Brooklyn,Clinton Hill,57596dad498e732300496b23,Dosa Royale,78,8.5,24
Brooklyn,Clinton Hill,568d3902498e619efcbc3f58,Spice & Grill,21,7.8,6
Brooklyn,Prospect Lefferts Gardens,4bb93b70cf2fc9b6fe64a002,Gandhi Fine Indian Cuisine,83,8.7,49
Brooklyn,Prospect Lefferts Gardens,4afdf78bf964a520862c22e3,King of Tandoor,25,7.2,23
Brooklyn,Prospect Lefferts Gardens,4ec80587d3e3e131f2e72835,Bayleaf,6,6.8,7
Brooklyn,Ocean Hill,5539753f498edbace4746b67,Tandoori Masala,12,7.8,2
Brooklyn,Ocean Hill,4f6cae2ee4b0d4a5afcef5c0,Delhi Heights,22,8.0,8
Brooklyn,Prospect Park South,519ff6c8498e1300ddcbd45c,Anarkali Indian Cuisine,14,7.6,8
Brooklyn,Prospect Park South,4db0f4371e729fcc56497f20,Mashallah,20,7.6,7
Brooklyn,North Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill,95,8.4,29
Brooklyn,South Side,5631511b498e3d6d7e0a4df0,Tikka Indian Grill,95,8.4,29
Brooklyn,Fort Hamilton,545835a1498e820edc6f636f,Bombay Grill,14,7.3,4
Manhattan,Washington Heights,4ae7876ef964a5201eac21e3,Kismat Indian Restaurant,46,8.0,25
Manhattan,Hamilton Heights,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.9,17
Manhattan,Hamilton Heights,5914ff32b23dfa207eca38de,Mumbai Masala,14,7.5,7
Manhattan,Manhattanville,529d382a11d2dd5ef107e641,Chapati House - NYC,73,8.0,18
Manhattan,Manhattanville,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.9,17
Manhattan,Central Harlem,56d87f3d498ee215abee5724,Delhi Masala,14,8.4,3
Manhattan,Central Harlem,54c2bd96498eaf5142e3fe92,Clove Indian Restaurant & Bar,33,7.9,17
Manhattan,East Harlem,519fe6f5498e30595d370c44,Bawarchi,9,7.5,4
Manhattan,Yorkville,5272ca4511d22488f6895caf,Drunken Munkey,212,8.7,61
Manhattan,Yorkville,56ed855a498ef3bb022352c3,Mughlai Indian Cuisine,28,8.3,10
Manhattan,Lenox Hill,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,186,8.4,83
Manhattan,Roosevelt Island,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux,186,8.4,83
Manhattan,Upper West Side,591890f43abcaf1ddca66e85,Ashoka,22,8.6,9
Manhattan,Upper West Side,42489a80f964a5208b201fe3,Swagat,108,8.6,40
Manhattan,Chelsea,4b4aab62f964a520978c26e3,Dil-e Punjab Deli,110,8.8,44
Manhattan,Tribeca,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa,600,9.0,150
Manhattan,West Village,5b5a2c9e66f3cd002ca0aab5,Bombay Bistros,31,9.0,6
Manhattan,West Village,591794df2be42556988e4a8e,Rahi,119,8.9,25
Manhattan,Manhattan Valley,4d24b812836f5481518645f7,Doaba Deli,42,7.8,13
Manhattan,Manhattan Valley,424de080f964a520ae201fe3,Manhattan Valley,42,7.9,30
Manhattan,Manhattan Valley,538ba1f2498e279098e4210a,Awadh,51,8.0,13
Manhattan,Manhattan Valley,49c5ad0af964a5201b571fe3,Roti Roll,116,7.8,58
Manhattan,Morningside Heights,49c5ad0af964a5201b571fe3,Roti Roll,116,7.8,58
Manhattan,Gramercy,4a70a75bf964a52016d81fe3,Bhatti Indian Grill,424,8.8,162
Manhattan,Gramercy,57f7cbbe498edf8f07c7ba83,Sahib,59,8.7,13
Queens,Astoria,5d8d9c5e0a2ffc0008f28855,The Gully,7,8.5,4
Queens,Astoria,4aa56c81f964a5204e4820e3,Seva Indian Cuisine,241,9.1,133
Queens,Astoria,59b9d25d0d173f3bdf654d77,Tikka Indian Grill,6,8.2,4
Queens,Woodside,4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,54,8.4,25
Queens,Woodside,4afdcf29f964a520162b22e3,Rajbhog Sweets,36,8.1,25
Queens,Woodside,4b189424f964a52043d423e3,Dera,48,7.7,19
Queens,Woodside,4c7060e734443704ca0e245f,Kababish,30,7.6,18
Queens,Woodside,5da4fbf091a08400078be19d,Angel Indian Restaurant,10,8.2,2
Queens,Woodside,49ebb18ff964a52016671fe3,Delhi Heights,34,7.9,25
Queens,Jackson Heights,527d9cbc498edf0db10bde6b,Samudra,49,8.7,16
Queens,Jackson Heights,4b998d3ff964a520fc8235e3,Maharaja Sweets & Snacks,54,8.4,25
Queens,Jackson Heights,5da4fbf091a08400078be19d,Angel Indian Restaurant,10,8.2,2
Queens,Jackson Heights,4afdcf29f964a520162b22e3,Rajbhog Sweets,36,8.1,25
Queens,Elmhurst,527d9cbc498edf0db10bde6b,Samudra,49,8.7,16
Queens,Elmhurst,5da4fbf091a08400078be19d,Angel Indian Restaurant,10,8.2,2
Queens,Kew Gardens,5782c9ce498edde587f5aa14,Tikka Indian Grill,10,8.0,2
Queens,Kew Gardens,4bbe78bfba9776b070cefdc8,Mehak Mughlai Cuisine,8,7.8,10
Queens,Kew Gardens,4c954d346b35a143dc0124dc,Indian Curry Express,2,5.9,5
Queens,Richmond Hill,4b522029f964a520f26927e3,Sohna Punjab,8,7.6,2
Queens,Richmond Hill,5782c9ce498edde587f5aa14,Tikka Indian Grill,10,8.0,2
Queens,Richmond Hill,4f1b77d7e4b044fd359e6d21,India Cafe,6,7.2,3
Queens,Richmond Hill,4bb2bc48a32876b02e0b01fe,Tandoori Hut,6,6.1,15
Queens,Richmond Hill,4adbaef0f964a520ff2921e3,Punjabi Kabab House,7,6.0,7
Queens,Richmond Hill,4babc24ef964a5200ac73ae3,Royal India Palace,7,6.0,3
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Richmond Hill,0,0,0,0.0,0
Queens,Long Island City,50a287a7e4b0033f830f06db,Raj's Indian Kitchen,25,7.7,13
Queens,Long Island City,5b931ea69d7468002c3b1382,Adda,130,9.1,35
Queens,Sunnyside,5b931ea69d7468002c3b1382,Adda,130,9.1,35
Queens,Ridgewood,50e1c9708aca7ff2b3e50353,Nepalese Indian Restaurant,54,8.3,18
Queens,Rego Park,5625af69498ebbc62b61a382,Aaheli Restaurant,12,7.5,6
Queens,South Ozone Park,0,0,0,0.0,0
Queens,Bayside,4f1f4996e4b01ff351a7a50c,Ayna Agra Indian Restaurant,38,8.1,12
Queens,Bayside,539a4ff0498e79c6745baba9,Masala Box,9,8.0,2
Queens,Bayside,539e27b0498e2eba582085ee,masalabox,7,6.6,2
Queens,Glen Oaks,4b787c49f964a5209cd12ee3,Santoor Indian Restaurant,37,7.4,18
Queens,Glen Oaks,4b9030abf964a520397b33e3,Taste of Cochin,9,6.6,4
Queens,Glen Oaks,4df0f39dd4c04d0392c853ea,Sagar Chinese,7,6.2,6
Queens,Glen Oaks,4c0e256ab1b676b06589e186,Sohna Punjab,3,6.4,3
Queens,Bellerose,0,0,0,0.0,0
Queens,Bellerose,0,0,0,0.0,0
